Offset,PID,Handle,Access,Type,Details,
0x821b36c0,4,0x794,0x12019f,File,\Device\Tcp,
0x81fa5d78,4,0x798,0x12019f,File,\Device\Tcp,
0x81fa5950,4,0x79c,0x12019f,File,\Device\Tcp,
0x81fa5528,4,0x7a0,0x12019f,File,\Device\Tcp,
0x8222b760,4,0x7a4,0x12019f,File,\Device\Tcp,
0x821b2d78,4,0x7a8,0x12019f,File,\Device\Tcp,
0x821b2950,4,0x7ac,0x12019f,File,\Device\Tcp,
0x821b2528,4,0x7b0,0x12019f,File,\Device\Tcp,
0x81fa4c80,4,0x7b4,0x12019f,File,\Device\Tcp,
0x81fa4858,4,0x7b8,0x12019f,File,\Device\Tcp,
0x81fa4430,4,0x7bc,0x12019f,File,\Device\Tcp,
0x8222af10,4,0x7c0,0x12019f,File,\Device\Tcp,
0x8222aae8,4,0x7c4,0x12019f,File,\Device\Tcp,
0x82232d78,4,0x7c8,0x12019f,File,\Device\Tcp,
0x82232950,4,0x7cc,0x12019f,File,\Device\Tcp,
0x82232528,4,0x7d0,0x12019f,File,\Device\Tcp,
0x821b9c80,4,0x7d4,0x12019f,File,\Device\Tcp,
0x81f8ed78,4,0x7d8,0x12019f,File,\Device\Tcp,
0x81f7b5c8,4,0x7dc,0x12019f,File,\Device\Tcp,
0x81f7b9f0,4,0x7e0,0x12019f,File,\Device\Tcp,
0x82189298,4,0x7e4,0x12019f,File,\Device\Tcp,
0x82199ae8,4,0x7e8,0x12019f,File,\Device\Tcp,
0x81f9c6c0,4,0x7ec,0x12019f,File,\Device\Tcp,
0x821aa430,4,0x7f0,0x12019f,File,\Device\Tcp,
0x82191f10,4,0x7f4,0x12019f,File,\Device\Tcp,
0x821a9c80,4,0x7f8,0x12019f,File,\Device\Tcp,
0x821a9858,4,0x7fc,0x12019f,File,\Device\Tcp,
0x8222e430,4,0x804,0x12019f,File,\Device\Tcp,
0x81f8af90,4,0x808,0x12019f,File,\Device\Tcp,
0x8251f670,4,0x80c,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Local,
0x821ef1e0,4,0x810,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Admin,Service\ntuser.dat.LOG
0xe1996448,4,0x814,0x1f0001,Port,,istrator\NTUSER.DAT
0x8251f8b8,4,0x818,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Local,
0x8220d098,4,0x81c,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Local,Service\NTUSER.DAT
0x8251f428,4,0x820,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Local,Service\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x821af3e8,4,0x824,0x12019f,File,\Device\Udp,Service\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x82072158,4,0x828,0x12019f,File,\Device\Tcp,
0x8239c528,4,0x82c,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Admin,
0x820b3f28,4,0x830,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Admin,istrator\ntuser.dat.LOG
0x82335230,4,0x834,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Admin,istrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x821f4738,4,0x838,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,istrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x8221f1a0,4,0x83c,0x12019f,File,\Device\Udp,9D289}
0x824424a0,4,0x840,0x12019f,File,\Device\NTPNP_PCI0042\Topology,
0xe1f57bb0,4,0x844,0x2,Key,MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG,
0xe1f27320,4,0x848,0x20f01ff,Token,,
0x8226ca48,4,0x84c,0x20,File,\Device\WebDavRedirector,
0x82181c18,4,0x850,0x20,File,\Device\LanmanRedirector,
0x81f753c8,4,0x854,0x120116,File,\Device\Mup,
0x821af810,4,0x858,0x12019f,File,\Device\Tcp,
0x821a2860,4,0x864,0x12019f,File,\Device\Tcp,
0x81fa2028,4,0x868,0x12019f,File,\Device\Tcp,
0x81fa1028,4,0x86c,0x12019f,File,\Device\Tcp,
0x82231df8,4,0x870,0x12019f,File,\Device\Tcp,
0x824a6810,4,0x874,0x12019f,File,\Device\Tcp,
0x82521f90,4,0x878,0x12019f,File,\Device\Tcp,
0x8240d518,4,0x87c,0x12019f,File,\Device\Tcp,
0x821b7f90,4,0x880,0x12019f,File,\Device\Tcp,
0x822308d8,4,0x884,0x12019f,File,\Device\Tcp,
0x81f67918,4,0x888,0x12019f,File,\Device\Tcp,
0x823fb128,4,0x88c,0x12019f,File,\Device\Tcp,
0x81f6c2b8,4,0x890,0x12019f,File,\Device\Tcp,
0x81f69c80,4,0x894,0x12019f,File,\Device\Tcp,
0x82176ae8,4,0x898,0x12019f,File,\Device\Tcp,
0x82190b10,4,0x89c,0x12019f,File,\Device\Tcp,
0x8221b2a0,4,0x8a0,0x12019f,File,\Device\Tcp,
0x81f689f0,4,0x8a4,0x12019f,File,\Device\Tcp,
0x8219b4e0,4,0x8a8,0x12019f,File,\Device\Tcp,
0x81f6ea48,4,0x8ac,0x12019f,File,\Device\Tcp,
0x821af0e0,4,0x8b0,0x12019f,File,\Device\Tcp,
0x821ac0e0,4,0x8b4,0x12019f,File,\Device\Tcp,
0x81f80900,4,0x8b8,0x12019f,File,\Device\Tcp,
0x81f9c028,4,0x8bc,0x12019f,File,\Device\Tcp,
0x82227100,4,0x8c0,0x12019f,File,\Device\Tcp,
0x81fa0f90,4,0x8c4,0x12019f,File,\Device\Tcp,
0x821b0028,4,0x8c8,0x12019f,File,\Device\Tcp,
0x82192860,4,0x8cc,0x12019f,File,\Device\Tcp,
0x82176f00,4,0x8d0,0x12019f,File,\Device\Tcp,
0x82193d80,4,0x8d4,0x12019f,File,\Device\Tcp,
0x81f93420,4,0x8d8,0x12019f,File,\Device\Tcp,
0x81f6e740,4,0x8dc,0x12019f,File,\Device\Tcp,
0x81f6dd00,4,0x8e0,0x12019f,File,\Device\Tcp,
0x81f6ce18,4,0x8e4,0x12019f,File,\Device\Tcp,
0x81f6c9f0,4,0x8e8,0x12019f,File,\Device\Tcp,
0x81f79848,4,0x8ec,0x12019f,File,\Device\Tcp,
0x8221f758,4,0x8f0,0x12019f,File,\Device\Tcp,
0x8217b960,4,0x8f4,0x12019f,File,\Device\Tcp,
0x81f6f4b8,4,0x8f8,0x12019f,File,\Device\Tcp,
0x821aa5c8,4,0x8fc,0x12019f,File,\Device\Tcp,
0x8217af90,4,0x900,0x12019f,File,\Device\Tcp,
0x82223438,4,0x904,0x12019f,File,\Device\Tcp,
0x822237e0,4,0x908,0x12019f,File,\Device\Tcp,
0x81f6c5c8,4,0x90c,0x12019f,File,\Device\Tcp,
0x821766b0,4,0x910,0x12019f,File,\Device\Tcp,
0x8217b538,4,0x914,0x12019f,File,\Device\Tcp,
0x81f6ee80,4,0x918,0x12019f,File,\Device\Tcp,
0x81f67d08,4,0x91c,0x12019f,File,\Device\Tcp,
0x81f674b8,4,0x920,0x12019f,File,\Device\Tcp,
0x82174c60,4,0x924,0x12019f,File,\Device\NetbiosSmb,
0x82174b48,4,0x928,0x12019f,File,\Device\NetbiosSmb,
0x82220028,4,0x92c,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0xe1f29818,4,0x930,0xf001f,Section,,9D289}
0x81fa9a78,4,0x934,0x1f03ff,Thread,TID 176 PID 4,
0x8207ccd8,4,0x938,0x120116,File,\Device\Mup,
0x81f9b8a0,4,0x93c,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0xe2121168,4,0x940,0x1f0001,Port,,9D289}
0x82192c78,4,0x944,0x1f01ff,File,\Device\Udp,
0x8218de58,4,0x948,0x180,File,\Device\NetbiosSmb,
0x82196af0,4,0x94c,0x12019f,File,\Device\Tcp,
0x824ad438,4,0x950,0x0,File,\Device\NetbiosSmb,
0x82198b70,4,0x954,0x12019f,File,\Device\Tcp,
0x823843f8,4,0x958,0x0,File,\Device\NetbiosSmb,
0x821988a8,4,0x95c,0x180,File,\Device\NetbiosSmb,
0x821cb3e0,4,0x960,0x12019f,File,\Device\Tcp,
0x821cb5a0,4,0x964,0x0,File,\Device\NetbiosSmb,
0x81fac028,4,0x968,0x12019f,File,\Device\Tcp,
0x82402408,4,0x96c,0x0,File,\Device\NetbiosSmb,
0x82197c48,4,0x970,0x180,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0x82231ac8,4,0x974,0x12019f,File,\Device\Tcp,9D289}
0x81f84ba8,4,0x978,0x1f01ff,File,\Device\Udp,
0x8251db08,4,0x97c,0x1f01ff,File,\Device\RawIp\255,
0x82337628,4,0x980,0x12019f,File,\Device\Tcp,
0x823f2660,4,0x984,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0x81fa5308,4,0x988,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,9D289}
0x824ad8e0,4,0x98c,0x180,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,9D289}
0x821b35d8,4,0x990,0x12019f,File,\Device\Tcp,9D289}
0x82337890,4,0x994,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0x81f9e418,4,0x998,0x12019f,File,\Device\Tcp,9D289}
0x81fa5c00,4,0x99c,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0x81f95650,4,0x9a0,0x1f01ff,File,\Device\Udp,9D289}
0x82341a18,4,0x9a4,0x1f01ff,File,\Device\Udp,
0x81f9cb10,4,0x9a8,0x1200a0,File,\Device\Udp,
0xe1f4fd08,4,0x9ac,0xf000f,Directory,Http,
0x8232e9c0,4,0x9b0,0x1f03ff,Thread,TID 1740 PID 4,
0x8232e4e8,4,0x9b4,0x1f03ff,Thread,TID 1752 PID 4,
0x82393da0,4,0x9b8,0x1f03ff,Thread,TID 1756 PID 4,
0x821f3da0,4,0x9bc,0x1f03ff,Thread,TID 1760 PID 4,
0x825c4408,4,0x9c0,0x1,Event,LowMemoryCondition,
0x82504a70,4,0x9c4,0x1f03ff,Thread,TID 1768 PID 4,
0x823a1b70,4,0x9c8,0x100003,File,\Device\Gpc,
0x81f6bf90,4,0x9cc,0x1200a0,File,\Device\Tcp,
0xe218e368,4,0x9d0,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETER,
0x81f8b198,4,0x9d4,0x1200a0,File,\Device\Udp,S\URLACLINFO
0x82481028,4,0x9dc,0x1200a0,File,\Device\Tcp,
0x82398ea8,4,0x9e0,0x12019f,File,\Device\Tcp,
0x8217b320,4,0x9e4,0x12019f,File,\Device\Tcp,
0x81f8e840,4,0x9e8,0x12019f,File,\Device\Tcp,
0x82199e00,4,0x9ec,0x12019f,File,\Device\Tcp,
0x81faba00,4,0x9f0,0x12019f,File,\Device\Tcp,
0x82424c38,4,0x9f4,0x12019f,File,\Device\Tcp,
0x81f69f60,4,0xa04,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A21,
0x81f68020,4,0xa40,0x28,Process,lsass.exe(696),9D289}
0xe18b8378,4,0xa44,0x1f0001,Port,SeRmCommandPort,
0x81f8ba80,4,0xa60,0x1f03ff,Process,vmtoolsd.exe(380),
0x821b53c0,4,0xa68,0x1f03ff,Process,svchost.exe(140),
0x81f68020,4,0xa6c,0x1f03ff,Process,lsass.exe(696),
0x82221a78,4,0xa70,0x1f03ff,Process,msmsgs.exe(1724),
0x8217a128,4,0xa74,0x1f03ff,Process,winlogon.exe(640),
0x81f76b10,4,0xa78,0x1f03ff,Process,spoolsv.exe(1556),
0x82481180,4,0xa9c,0x12019f,File,\Device\Tcp,
0x821f83d8,4,0xaac,0x1f01ff,File,\Device\Tcp,
0x8222bae8,4,0xab8,0x12019f,File,\Device\Tcp,
0x81fc9a90,4,0xac4,0x12019f,File,\Device\HarddiskVolume1\Documents and Settings\Admin,
0x8221b4d8,4,0xb00,0x1f0003,Event,PrefetchTracesReady,istrator\My Documents\Incident Response Suites\CMATv1.02a\XPSP2_RAT2.mem
0xe18bd4d0,4,0xbfc,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526,
0xe16c9020,4,0xc00,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{4BE7B526,-22B2-4341-952A-B341608F71F8}\0000\VOLATILESETTINGS
0x820563f0,4,0xc08,0x1f03ff,Thread,TID 292 PID 4,-22B2-4341-952A-B341608F71F8}\0001\VOLATILESETTINGS
0x8226dda0,4,0xc30,0x1f03ff,Thread,TID 352 PID 4,
0x8234e3a0,4,0xc38,0x12019f,File,\Device\Tcp,
0x82526698,4,0xc3c,0x12019f,File,\Device\Gpc,
0x8234eb68,4,0xc40,0x12019f,File,\Device\Gpc,
0x8234e950,4,0xc44,0x12019f,File,\Device\Tcp,
0x8234e5e0,4,0xc48,0x12019f,File,\Device\Udp,
0x824105a0,4,0xc60,0x20,File,\Device\hgfs,
0x82410998,4,0xc64,0x12019f,File,\Device\Tcp,
0x824df1a8,4,0xc70,0x100003,Event,LanmanServerAnnounceEvent,
0x82410b98,4,0xc74,0x120089,File,\Device\Tcp,
0x824107a0,4,0xc7c,0x120116,File,\Device\Mup,
0xe10096c0,552,0x4,0xf0003,KeyedEvent,CritSecOutOfMemoryEvent,
0x8243cec0,552,0x8,0x100020,File,\Device\HarddiskVolume1\WINDOWS,
0xe1920f20,552,0xc,0x1f0001,Port,SmApiPort,
0xe1635640,552,0x10,0x1f0001,Port,,
0xe1004488,552,0x14,0xf000f,Directory,GLOBAL??,
0xe191eca8,552,0x18,0xf000f,Directory,Sessions,
0xe1637860,552,0x1c,0xf000f,Directory,KnownDlls,
0xe163a440,552,0x20,0xf0001,SymbolicLink,KnownDllPath,
0x82439dd0,552,0x24,0x100001,File,\Device\HarddiskVolume1\WINDOWS\system32,
0x821fc0d8,552,0x28,0x1f0003,Event,,
0x82083b20,552,0x2c,0x1f0003,Event,UniqueSessionIdEvent,
0x81f6a128,552,0x30,0x1f0fff,Process,csrss.exe(616),
0x81f6a128,552,0x34,0x400,Process,csrss.exe(616),
0xe16506d8,552,0x38,0x1f0001,Port,,
0xe16a37b8,552,0x3c,0x1f0001,Port,,
0xe192d438,552,0x40,0x1f0001,Port,,
0xe1036f68,552,0x44,0x1f0001,Port,,
0x8217a128,552,0x48,0x1f0fff,Process,winlogon.exe(640),
0x821aa020,552,0x4c,0x400,Process,svchost.exe(868),
0xe10096c0,616,0x4,0xf0003,KeyedEvent,CritSecOutOfMemoryEvent,
0xe1637860,616,0x8,0x3,Directory,KnownDlls,
0x825272c8,616,0xc,0x100020,File,\Device\HarddiskVolume1\WINDOWS\system32,
0xe16d1530,616,0x10,0xf000f,Directory,BNOLINKS,
0x8217a128,616,0x14,0x1f0fff,Process,winlogon.exe(640),
0xe1739c08,616,0x18,0xf0001,SymbolicLink,0,
0xe163c3f0,616,0x1c,0xf000f,Directory,0,
0xe192e3f0,616,0x20,0xf000f,Directory,DosDevices,
0xe18f8940,616,0x24,0xf000f,Directory,Windows,
0xe1930690,616,0x28,0xf001f,Section,,
0xe16333f0,616,0x2c,0xf000f,Directory,BaseNamedObjects,
0x820b8c50,616,0x30,0x100003,Semaphore,,
0xe18d7780,616,0x34,0xf000f,Directory,Restricted,
0xe16346a8,616,0x38,0x4,Section,NlsSectionUnicode,
0x8239a5f8,616,0x3c,0x1f0003,Event,,
0xe1774a50,616,0x40,0x4,Section,NlsSectionLocale,
0xe16ecf40,616,0x44,0x4,Section,NlsSectionCType,
0xe1634f68,616,0x48,0x4,Section,NlsSectionSortkey,
0xe1645410,616,0x4c,0x4,Section,NlsSectionSortTbls,
0x82488d20,616,0x50,0x1f0003,Event,,
0x82488340,616,0x54,0x1f0003,Event,,
0x8250a0c0,616,0x58,0x1f0003,Event,,
0x823f57e0,616,0x5c,0x1f0003,Event,,
0xe16560c0,616,0x60,0x1f0001,Port,,
0x820b8020,616,0x64,0x1f03ff,Thread,TID 624 PID 616,
0xe16333f0,616,0x68,0x2000f,Directory,BaseNamedObjects,
0x8222d558,616,0x6c,0x1f03ff,Thread,TID 1856 PID 868,
0x82180128,616,0x70,0x1f03ff,Thread,TID 628 PID 616,
0xe16fd9a8,616,0x74,0x1f0001,Port,ApiPort,
0xe16fcef0,616,0x78,0x1f0001,Port,SbApiPort,
0x81f71128,616,0x7c,0x1f03ff,Thread,TID 632 PID 616,
0x8239fae8,616,0x80,0x21f0003,Event,,
0x81f6b128,616,0x84,0x1f03ff,Thread,TID 636 PID 616,
0xe1926460,616,0x88,0x1f0001,Port,,
0x8217d128,616,0x8c,0x1f03ff,Thread,TID 644 PID 640,
0xe1651448,616,0x90,0x1f0001,Port,,
0x82175020,616,0x94,0x1f03ff,Thread,TID 648 PID 616,
0x82176128,616,0x98,0x1f03ff,Thread,TID 652 PID 616,
0x823d5970,616,0x9c,0x21f0003,Event,,
0x81f67020,616,0xa0,0x1f03ff,Thread,TID 656 PID 616,
0x8234e298,616,0xa4,0x21f0003,Event,,
0x823339d0,616,0xa8,0x1f0003,Event,WinSta0_DesktopSwitch,
0x821ec318,616,0xac,0x100001,File,\Device\00000031,
0x823d2de8,616,0xb0,0x100001,File,\Device\00000032,
0x8238d130,616,0xb4,0x100001,File,\Device\00000080,
0x820bb5b0,616,0xb8,0x100001,File,\Device\0000007f,
0x8239c958,616,0xbc,0x100001,File,\Device\0000006e,
0x823328b8,616,0xc0,0x100001,File,\Device\0000006d,
0xe163a2e8,616,0xc4,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRIORITYCONTROL,
0x8238d038,616,0xc8,0xf0003,WindowStation,WinSta0,
0x8220d948,616,0xd0,0x100003,Semaphore,,
0x8240d1e8,616,0xd4,0x100003,Semaphore,,
0xe196ac30,616,0xd8,0x20f003f,Key,MACHINE,
0xe1644e40,616,0xdc,0x20019,Key,MACHINE\SYSTEM\SETUP,
0x82509e18,616,0xe0,0x21f0003,Event,,
0x82187020,616,0xe4,0x1f03ff,Thread,TID 664 PID 640,
0x81f83020,616,0xe8,0x1f03ff,Thread,TID 668 PID 640,
0x82230020,616,0xec,0x1f03ff,Thread,TID 672 PID 640,
0x81f78020,616,0xf0,0x1f03ff,Thread,TID 676 PID 640,
0x82184020,616,0xf4,0x1f03ff,Thread,TID 680 PID 640,
0x8222f020,616,0xf8,0x1f0fff,Process,services.exe(684),
0x81f81318,616,0xfc,0x1f03ff,Thread,TID 1868 PID 868,
0x82183128,616,0x100,0x1f03ff,Thread,TID 692 PID 640,
0x8222e980,616,0x104,0x1f03ff,Thread,TID 120 PID 1040,
0x821ff620,616,0x108,0x100001,File,\Device\KsecDD,
0x81f68020,616,0x10c,0x1f0fff,Process,lsass.exe(696),
0x81f95020,616,0x110,0x1f03ff,Thread,TID 832 PID 684,
0xe1968f68,616,0x114,0x1f0001,Port,,
0xe16ab758,616,0x118,0x1f0001,Port,,
0x824b0088,616,0x11c,0x1f03ff,Thread,TID 704 PID 616,
0x8207d300,616,0x120,0x21f0003,Event,,
0x81f6f020,616,0x124,0x1f03ff,Thread,TID 708 PID 684,
0x81f6c020,616,0x128,0x1f03ff,Thread,TID 716 PID 696,
0x81fa4020,616,0x12c,0x1f03ff,Thread,TID 712 PID 696,
0x8222e020,616,0x130,0x1f03ff,Thread,TID 720 PID 696,
0x82181020,616,0x134,0x1f03ff,Thread,TID 724 PID 696,
0x8218f020,616,0x138,0x1f03ff,Thread,TID 728 PID 696,
0x820b4020,616,0x13c,0x1f03ff,Thread,TID 936 PID 684,
0x820768c8,616,0x140,0x1f03ff,Thread,TID 1692 PID 1040,
0x81f7b020,616,0x144,0x1f03ff,Thread,TID 744 PID 696,
0x8217b020,616,0x148,0x1f03ff,Thread,TID 756 PID 684,
0x81f89020,616,0x14c,0x1f03ff,Thread,TID 760 PID 684,
0x821b9020,616,0x150,0x1f03ff,Thread,TID 768 PID 696,
