Driver Name: ntoskrnl.exe	Image Base: 2c65000
Driver Name: ndistapi.sys	Image Base: 45ec000
Driver Name: ndiswan.sys	Image Base: 3b51000
Driver Name: raspppoe.sys	Image Base: 3b80000
Driver Name: raspptp.sys	Image Base: 3b9b000
Driver Name: rassstp.sys	Image Base: 3bbc000
Driver Name: rdpbus.sys	Image Base: 3bd6000
Driver Name: swenum.sys	Image Base: 2c80000
Driver Name: ks.sys	Image Base: 4e21000
Driver Name: umbus.sys	Image Base: 4e64000
Driver Name: vmnetadapter.sys	Image Base: 4e76000
Driver Name: VMNET.SYS	Image Base: 4e7e000
Driver Name: usbhub.sys	Image Base: 4e88000
Driver Name: NDProxy.SYS	Image Base: 4ee2000
Driver Name: HdAudio.sys	Image Base: 4ef7000
Driver Name: portcls.sys	Image Base: 4f53000
Driver Name: drmk.sys	Image Base: 4f90000
Driver Name: ksthunk.sys	Image Base: 4fb2000
Driver Name: VSTAZL6.SYS	Image Base: 52e9000
Driver Name: VSTDPV6.SYS	Image Base: 560f000
Driver Name: VSTCNXT6.SYS	Image Base: 5200000
Driver Name: modem.sys	Image Base: 5783000
Driver Name: win32k.sys	Image Base: b0000
Driver Name: Dxapi.sys	Image Base: 57a3000
Driver Name: crashdmp.sys	Image Base: 57e5000
Driver Name: dump_ataport.sys	Image Base: 57f3000
Driver Name: dump_atapi.sys	Image Base: 5600000
Driver Name: dump_dumpfve.sys	Image Base: 57af000
Driver Name: monitor.sys	Image Base: 57c2000
Driver Name: TSDDD.dll	Image Base: 470000
Driver Name: cdd.dll	Image Base: 620000
Driver Name: luafv.sys	Image Base: 533b000
Driver Name: vmnetbridge.sys	Image Base: 57d0000
Driver Name: lltdio.sys	Image Base: 535e000
Driver Name: nwifi.sys	Image Base: 5373000
Driver Name: ndisuio.sys	Image Base: 53c6000
Driver Name: rspndr.sys	Image Base: 53d9000
Driver Name: HTTP.sys	Image Base: 284c000
Driver Name: bowser.sys	Image Base: 2915000
Driver Name: mpsdrv.sys	Image Base: 2933000
Driver Name: mrxsmb.sys	Image Base: 294b000
Driver Name: mrxsmb10.sys	Image Base: 2978000
Driver Name: mrxsmb20.sys	Image Base: 29c6000
Driver Name: hcmon.sys	Image Base: 29ea000
Driver Name: vmx86.sys	Image Base: 2800000
Driver Name: peauth.sys	Image Base: 46f1000
Driver Name: secdrv.SYS	Image Base: 4797000
Driver Name: srvnet.sys	Image Base: 47a2000
Driver Name: tcpipreg.sys	Image Base: 47d3000
Driver Name: vmnetuserif.sys	Image Base: 47e5000
Driver Name: vstor2-mntapi20-shared.sys	Image Base: 47ef000
Driver Name: srv2.sys	Image Base: 4600000
Driver Name: srv.sys	Image Base: 5450000
Driver Name: WudfPf.sys	Image Base: 54e8000
Driver Name: WinUSB.sys	Image Base: 5501000
Driver Name: WUDFRd.sys	Image Base: 5512000
Driver Name: scfilter.sys	Image Base: 5548000
Driver Name: spsys.sys	Image Base: 5556000
Driver Name: asyncmac.sys	Image Base: 55c7000
