Offset,PID,Handle,Access,Type,Details
0x8203e860,4,0x6cc,0x12019f,File,\Device\Tcp
0x823cc540,4,0x6d0,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x82443160,4,0x6d4,0x12019f,File,\Device\Tcp
0x81fd5510,4,0x6d8,0x0,Thread,TID 124 PID 4
0xe155ab58,4,0x6e0,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0x81fb0590,4,0x6e4,0x12019f,File,\Device\Tcp
0x822fbaf0,4,0x6e8,0x12019f,File,\Device\Tcp
0x822fb678,4,0x6ec,0x12019f,File,\Device\Tcp
0x82435cb0,4,0x6f0,0x12019f,File,\Device\Tcp
0x82435838,4,0x6f4,0x12019f,File,\Device\Tcp
0x824353c0,4,0x6f8,0x12019f,File,\Device\Tcp
0x823857c0,4,0x6fc,0x12019f,File,\Device\Tcp
0x82385348,4,0x700,0x12019f,File,\Device\Tcp
0x81fa73e8,4,0x704,0x12019f,File,\Device\Tcp
0x822f93c0,4,0x708,0x12019f,File,\Device\Tcp
0x81fa6c60,4,0x70c,0x12019f,File,\Device\Tcp
0x81fa67e8,4,0x710,0x12019f,File,\Device\Tcp
0x822f6838,4,0x714,0x12019f,File,\Device\Tcp
0x822f63c0,4,0x718,0x12019f,File,\Device\Tcp
0x81fa3f40,4,0x71c,0x12019f,File,\Device\Tcp
0x81fa3ac8,4,0x720,0x12019f,File,\Device\Tcp
0x82042cb0,4,0x724,0x12019f,File,\Device\Tcp
0x8243b7f8,4,0x728,0x12019f,File,\Device\Tcp
0x82487cf8,4,0x72c,0x12019f,File,\Device\Tcp
0x8243a348,4,0x730,0x12019f,File,\Device\Tcp
0x824d1888,4,0x734,0x12019f,File,\Device\Tcp
0x824d1640,4,0x738,0x12019f,File,\Device\Tcp
0x8238aac8,4,0x73c,0x12019f,File,\Device\Tcp
0x8238a650,4,0x740,0x12019f,File,\Device\Tcp
0x822fe558,4,0x744,0x12019f,File,\Device\Tcp
0x82481cb0,4,0x748,0x12019f,File,\Device\Tcp
0x81fb16d8,4,0x74c,0x12019f,File,\Device\Tcp
0x82045820,4,0x750,0x12019f,File,\Device\Tcp
0x8243eda8,4,0x754,0x12019f,File,\Device\Tcp
0x823027f8,4,0x758,0x12019f,File,\Device\Tcp
0x823022d0,4,0x75c,0x12019f,File,\Device\Tcp
0x81fa0c88,4,0x760,0x12019f,File,\Device\Tcp
0x82495f40,4,0x764,0x12019f,File,\Device\Tcp
0x82379398,4,0x768,0x12019f,File,\Device\Tcp
0x81f9b460,4,0x76c,0x12019f,File,\Device\Tcp
0x81fa3650,4,0x770,0x12019f,File,\Device\Tcp
0x82375cb0,4,0x774,0x12019f,File,\Device\Tcp
0x82037460,4,0x778,0x12019f,File,\Device\Tcp
0x822f52c8,4,0x77c,0x12019f,File,\Device\Tcp
0x82433438,4,0x780,0x12019f,File,\Device\Tcp
0x8242f678,4,0x784,0x12019f,File,\Device\Tcp
0x81fa1da8,4,0x788,0x12019f,File,\Device\Tcp
0x823836c8,4,0x78c,0x12019f,File,\Device\Tcp
0x8237f4b8,4,0x790,0x12019f,File,\Device\Tcp
0x8237f930,4,0x794,0x12019f,File,\Device\Tcp
0x81fa6370,4,0x798,0x12019f,File,\Device\Tcp
0x822dae58,4,0x79c,0x120116,File,\Device\Mup
0x82308870,4,0x7a0,0x12019f,File,\Device\Tcp
0x8249bba0,4,0x7a4,0x12019f,File,\Device\Tcp
0x8238cad0,4,0x7a8,0x12019f,File,\Device\Tcp
0x8207fd88,4,0x7ac,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Administrator\ntuser.dat.LOG
0x8205bc90,4,0x7b0,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x824a7d08,4,0x7b4,0x120116,File,\Device\Mup
0x81f85c78,4,0x7b8,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Administrator\NTUSER.DAT
0x8205b148,4,0x7bc,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
0x82377638,4,0x7c0,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
0x82394b78,4,0x7c4,0x12019f,File,\Device\Tcp
0x824223d0,4,0x7c8,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x82393be0,4,0x7cc,0x12019f,File,\Device\Tcp
0x822dcb78,4,0x7d0,0x12019f,File,\Device\Tcp
0x8209bd00,4,0x7d4,0x2000003,File,\Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
0x82010520,4,0x7d8,0x1f03ff,Thread,TID 276 PID 4
0x82098388,4,0x7dc,0x20,File,\Device\LanmanRedirector
0x8241cae8,4,0x7e0,0x12019f,File,\Device\Tcp
0x8200a270,4,0x7e4,0x12019f,File,\Device\Tcp
0x82515860,4,0x7e8,0x12019f,File,\Device\Tcp
0x81f8d9e8,4,0x7ec,0x12019f,File,\Device\Udp
0x81f8fcc8,4,0x7f0,0x12019f,File,\Device\Udp
0x824a49e8,4,0x7f4,0x12019f,File,\Device\Tcp
0x820249e8,4,0x7f8,0x12019f,File,\Device\Tcp
0x823919f8,4,0x7fc,0x12019f,File,\Device\Tcp
0x82391960,4,0x804,0x12019f,File,\Device\Tcp
0x82308ac0,4,0x808,0x12019f,File,\Device\Tcp
0x82308998,4,0x80c,0x12019f,File,\Device\Tcp
0x823917d0,4,0x810,0x12019f,File,\Device\Tcp
0x82391628,4,0x814,0x12019f,File,\Device\Tcp
0x82391400,4,0x818,0x12019f,File,\Device\Tcp
0x81f90420,4,0x81c,0x12019f,File,\Device\Tcp
0x81f901f8,4,0x820,0x12019f,File,\Device\Tcp
0x8236d4b0,4,0x824,0x12019f,File,\Device\Tcp
0x8236d238,4,0x828,0x12019f,File,\Device\Tcp
0x8236c430,4,0x82c,0x12019f,File,\Device\Tcp
0x8236c1b8,4,0x830,0x12019f,File,\Device\Tcp
0x82020430,4,0x834,0x12019f,File,\Device\Tcp
0x82020188,4,0x838,0x12019f,File,\Device\Tcp
0x824a68c0,4,0x83c,0x12019f,File,\Device\Tcp
0x824a6648,4,0x840,0x12019f,File,\Device\Tcp
0x82313aa8,4,0x844,0x12019f,File,\Device\Tcp
0x82313800,4,0x848,0x12019f,File,\Device\Tcp
0x8239ee00,4,0x84c,0x12019f,File,\Device\Tcp
0x8239eb58,4,0x850,0x12019f,File,\Device\Tcp
0x8249d738,4,0x854,0x12019f,File,\Device\Tcp
0x8249d490,4,0x858,0x12019f,File,\Device\Tcp
0x81f8b558,4,0x85c,0x12019f,File,\Device\Tcp
0x81f8b2e0,4,0x860,0x12019f,File,\Device\Tcp
0x820238d8,4,0x864,0x12019f,File,\Device\Tcp
0x82023660,4,0x868,0x12019f,File,\Device\Tcp
0x820233b8,4,0x86c,0x12019f,File,\Device\Tcp
0x8201d9d8,4,0x870,0x12019f,File,\Device\Tcp
0x8201d730,4,0x874,0x12019f,File,\Device\Tcp
0x81f8cf00,4,0x878,0x12019f,File,\Device\Tcp
0x81f8cc58,4,0x87c,0x12019f,File,\Device\Tcp
0x82089c28,4,0x880,0x12019f,File,\Device\Tcp
0x820899b0,4,0x884,0x12019f,File,\Device\Tcp
0x82089738,4,0x888,0x12019f,File,\Device\Tcp
0x82368c98,4,0x88c,0x12019f,File,\Device\Tcp
0x82368a20,4,0x890,0x12019f,File,\Device\Tcp
0x82017f90,4,0x894,0x12019f,File,\Device\Tcp
0x82017d18,4,0x898,0x12019f,File,\Device\Tcp
0x82017a70,4,0x89c,0x12019f,File,\Device\Tcp
0x822d7e00,4,0x8a0,0x12019f,File,\Device\Tcp
0x822d7b88,4,0x8a4,0x12019f,File,\Device\Tcp
0x82413848,4,0x8a8,0x12019f,File,\Device\Tcp
0x82413368,4,0x8ac,0x12019f,File,\Device\NetbiosSmb
0x82413250,4,0x8b0,0x12019f,File,\Device\NetbiosSmb
0x823f6028,4,0x8b4,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x8249b5d0,4,0x8b8,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x82415898,4,0x8bc,0x12019f,File,\Device\NTPNP_PCI0042\Topology
0x823800d0,4,0x8c0,0x1f01ff,File,\Device\Udp
0x82312d50,4,0x8c4,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x82386da0,4,0x8c8,0x1f03ff,Thread,TID 2044 PID 4
0x823f63d0,4,0x8cc,0x12019f,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x822ea028,4,0x8d0,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x81ebece0,4,0x8d4,0x1200a0,File,\Device\Udp
0x82437be8,4,0x8d8,0x12019f,File,\Device\Tcp
0x822e0bf8,4,0x8dc,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x820330d0,4,0x8e0,0x12019f,File,\Device\Tcp
0x823788c8,4,0x8e4,0x180,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x8242bf90,4,0x8e8,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x82523f90,4,0x8ec,0x12019f,File,\Device\Tcp
0x8242ef90,4,0x8f0,0x12019f,File,\Device\Tcp
0x824d0f90,4,0x8f4,0x0,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x822fead0,4,0x8f8,0x180,File,\Device\NetBT_Tcpip_{BE29B437-A9A0-479B-90AA-7276A219D289}
0x8248c428,4,0x8fc,0x0,File,\Device\NetbiosSmb
0x822feb68,4,0x900,0x12019f,File,\Device\Tcp
0x822fe3f8,4,0x904,0x0,File,\Device\NetbiosSmb
0x8248c550,4,0x908,0x12019f,File,\Device\Tcp
0x82486b68,4,0x90c,0x180,File,\Device\NetbiosSmb
0x8203fd70,4,0x910,0x0,File,\Device\NetbiosSmb
0x820415e8,4,0x914,0x12019f,File,\Device\Tcp
0x82484e00,4,0x918,0x0,File,\Device\NetbiosSmb
0x82387748,4,0x91c,0x180,File,\Device\NetbiosSmb
0x82484ca0,4,0x920,0x12019f,File,\Device\Tcp
0x82433a18,4,0x924,0x1f01ff,File,\Device\RawIp\255
0x822f5400,4,0x928,0x1f01ff,File,\Device\Udp
0x81fd1028,4,0x92c,0x1f01ff,File,\Device\Udp
0xe1d57450,4,0x930,0x1f0001,Port,
0xe2115b80,4,0x934,0xf001f,Section,
0xe212e328,4,0x938,0x2,Key,MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
0x82376610,4,0x93c,0x1f01ff,File,\Device\Udp
0xe16e51d0,4,0x940,0x20f01ff,Token,
0x81fa1c10,4,0x944,0x12019f,File,\Device\NamedPipe\
0x8236ba50,4,0x948,0x20,File,\Device\WebDavRedirector
0xe1cf32d0,4,0x94c,0x1f0001,Port,
0xe1d9e7c8,4,0x950,0xf000f,Directory,Http
0x81fa1020,4,0x954,0x1f03ff,Thread,TID 1488 PID 4
0x822e9390,4,0x958,0x1f03ff,Thread,TID 1496 PID 4
0x8202b4d8,4,0x95c,0x1f03ff,Thread,TID 1500 PID 4
0x82424be0,4,0x960,0x1f03ff,Thread,TID 1508 PID 4
0x825c4408,4,0x964,0x1,Event,LowMemoryCondition
0x8242a5d0,4,0x968,0x1f03ff,Thread,TID 1524 PID 4
0x823c7aa8,4,0x96c,0x100003,File,\Device\Gpc
0x82535378,4,0x970,0x1200a0,File,\Device\Tcp
0xe20dd800,4,0x974,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
0x825323b0,4,0x978,0x1200a0,File,\Device\Udp
0x822fc5b0,4,0x97c,0x12019f,File,\Device\Tcp
0x8248d3c8,4,0x980,0x1f03ff,Process,spoolsv.exe(1652)
0x8242d7a8,4,0x984,0x12019f,File,\Device\Tcp
0x822fc518,4,0x988,0x12019f,File,\Device\Tcp
0x82031520,4,0x98c,0x1200a0,File,\Device\Tcp
0x822efdd0,4,0x990,0x12019f,File,\Device\Tcp
0x8242d840,4,0x994,0x12019f,File,\Device\Tcp
0x82439408,4,0x99c,0x12019f,File,\Device\Tcp
0x8238cc10,4,0x9a0,0x1f03ff,Process,msmsgs.exe(1884)
0x8236bda0,4,0x9b4,0x1f03ff,Process,svchost.exe(1184)
0x823064d8,4,0x9d4,0x1f0003,Event,PrefetchTracesReady
0x82478e18,4,0x9f0,0x12019f,File,\Device\Tcp
0x82057510,4,0xa00,0x12019f,File,\Device\Tcp
0x8205a250,4,0xa14,0x1f01ff,File,\Device\Tcp
0x823c7c18,4,0xa18,0x1f01ff,File,\Device\Tcp
0x8209d7d0,4,0xa2c,0x1f01ff,File,\Device\RawIp\47
0x82023f90,4,0xa30,0x3,File,\Device\Ip
0x81fb1ca8,4,0xa3c,0x1f03ff,Process,svchost.exe(1096)
0x81fa8da0,4,0xa4c,0x1f03ff,Process,svchost.exe(2024)
0x820a8020,4,0xa50,0x1f03ff,Process,winlogon.exe(640)
0x822d17f8,4,0xa6c,0x12019f,File,\Device\Tcp
0x81f96f90,4,0xa84,0x3,File,\Device\Tcp
0x825334d0,4,0xabc,0x12019f,File,\Device\Tcp
0x82511a18,4,0xadc,0x1f01ff,File,\Device\Tcp
0x822e3ca8,4,0xaec,0x1f03ff,Process,lsass.exe(696)
0x82179c68,4,0xaf8,0x12019f,File,\Device\HarddiskVolume1\Documents and Settings\Administrator\My Documents\Incident Response Suites\CMATv1.02a\FirefoxDump.mem
0x81eb3638,4,0xb0c,0x12019f,File,\Device\Tcp
0x824d33e0,4,0xb14,0x12019f,File,\Device\Tcp
0x822d1900,4,0xb18,0x120116,File,\Device\KSENUM#0000000c{146F1A80-4791-11D0-A5D6-28DB04C10000}\???????
0x81eeae08,4,0xb58,0x1f01ff,File,\Device\Tcp
0x8246fa38,4,0xb60,0x1f03ff,Thread,TID 292 PID 4
0x824cb4a8,4,0xb70,0x12019f,File,\Device\Gpc
0x82308da0,4,0xb84,0x1f03ff,Process,vmtoolsd.exe(304)
0x8237cde0,4,0xba4,0x12019f,File,\Device\Tcp
0x8206cda0,4,0xbb8,0x1f03ff,Process,explorer.exe(1512)
0x81faa438,4,0xbe8,0x1f01ff,File,\Device\Tcp
0xe185f820,4,0xbec,0x20019,Key,MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0x8251cf90,4,0xbf4,0x1f01ff,File,\Device\Tcp
0xe10096c0,616,0x4,0xf0003,KeyedEvent,CritSecOutOfMemoryEvent
0xe18d2570,616,0x8,0x3,Directory,KnownDlls
0x8202c390,616,0xc,0x100020,File,\Device\HarddiskVolume1\WINDOWS\system32
0xe16cbac8,616,0x10,0xf000f,Directory,BNOLINKS
0x820a8020,616,0x14,0x1f0fff,Process,winlogon.exe(640)
0xe16e48e8,616,0x18,0xf0001,SymbolicLink,0
0xe18eb2f8,616,0x1c,0xf000f,Directory,0
0xe1883548,616,0x24,0xf000f,Directory,Windows
0xe163db48,616,0x28,0xf001f,Section,
0xe1630840,616,0x2c,0xf000f,Directory,BaseNamedObjects
0x8247cf18,616,0x30,0x100003,Semaphore,
0xe18d2670,616,0x34,0xf000f,Directory,Restricted
0xe185f508,616,0x38,0x4,Section,NlsSectionUnicode
0x81fcbce0,616,0x3c,0x1f0003,Event,
0xe18de308,616,0x40,0x4,Section,NlsSectionLocale
0xe18ceed0,616,0x44,0x4,Section,NlsSectionCType
0xe161ed20,616,0x48,0x4,Section,NlsSectionSortkey
0xe1607160,616,0x4c,0x4,Section,NlsSectionSortTbls
0x82053290,616,0x50,0x1f0003,Event,
0x820531c0,616,0x54,0x1f0003,Event,
0x820530f0,616,0x58,0x1f0003,Event,
0x8244cf50,616,0x5c,0x1f0003,Event,
0xe16c1e98,616,0x60,0x1f0001,Port,
0x82366020,616,0x64,0x1f03ff,Thread,TID 624 PID 616
0xe1630840,616,0x68,0x2000f,Directory,BaseNamedObjects
0x82525020,616,0x70,0x1f03ff,Thread,TID 628 PID 616
0xe16d6868,616,0x74,0x1f0001,Port,ApiPort
0xe16d8f68,616,0x78,0x1f0001,Port,SbApiPort
0x825363d0,616,0x7c,0x1f03ff,Thread,TID 632 PID 616
0x8247c160,616,0x80,0x21f0003,Event,
0x823990c0,616,0x84,0x1f03ff,Thread,TID 636 PID 616
0xe163d8f8,616,0x88,0x1f0001,Port,
0x823132c0,616,0x8c,0x1f03ff,Thread,TID 644 PID 640
0xe192d880,616,0x90,0x1f0001,Port,
0x82510b18,616,0x94,0x1f03ff,Thread,TID 648 PID 616
0xe16981c0,616,0x98,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRIORITYCONTROL
0x824dc2d8,616,0x9c,0x1f03ff,Thread,TID 652 PID 616
0x8251bda0,616,0xa0,0x21f0003,Event,
0x824a6020,616,0xa4,0x1f03ff,Thread,TID 656 PID 616
0x81fcb8f0,616,0xa8,0x21f0003,Event,
0x82448568,616,0xac,0x1f0003,Event,WinSta0_DesktopSwitch
0x8208de80,616,0xb0,0x100001,File,\Device\00000030
0x8247aa28,616,0xb4,0x100001,File,\Device\00000031
0x8206d850,616,0xb8,0x100001,File,\Device\0000007f
0x8206d208,616,0xbc,0x100001,File,\Device\0000007e
0x8208d028,616,0xc0,0x100001,File,\Device\0000006d
0x8208d9c8,616,0xc4,0x100001,File,\Device\0000006c
0x8206d660,616,0xc8,0xf0003,WindowStation,WinSta0
0x820b4020,616,0xd0,0x100003,Semaphore,
0x8247c308,616,0xd4,0x100003,Semaphore,
0xe1941cc8,616,0xdc,0x20019,Key,MACHINE\SYSTEM\SETUP
0x82051418,616,0xe0,0x21f0003,Event,
0x81fc9938,616,0xe8,0x1f03ff,Thread,TID 668 PID 640
0x82427ca8,616,0xec,0x1f03ff,Thread,TID 672 PID 640
0x81f906e8,616,0xf4,0x1f03ff,Thread,TID 680 PID 640
0x81f90b10,616,0xf8,0x1f0fff,Process,services.exe(684)
0x821859e8,616,0xfc,0x1f03ff,Thread,TID 208 PID 1512
0x822e3880,616,0x100,0x1f03ff,Thread,TID 692 PID 640
0xe1e55b50,616,0x104,0x1f0001,Port,
0x8239ae50,616,0x108,0x100001,File,\Device\KsecDD
0x822e3ca8,616,0x10c,0x1f0fff,Process,lsass.exe(696)
0xe1676dc8,616,0x114,0x1f0001,Port,
0xe1673020,616,0x118,0x1f0001,Port,
0x8241d880,616,0x11c,0x1f03ff,Thread,TID 704 PID 616
0x822f05a8,616,0x120,0x21f0003,Event,
0x8241dca8,616,0x124,0x1f03ff,Thread,TID 708 PID 684
0x82368020,616,0x128,0x1f03ff,Thread,TID 716 PID 684
0x82369550,616,0x12c,0x1f03ff,Thread,TID 712 PID 684
0x82416678,616,0x130,0x1f03ff,Thread,TID 720 PID 696
0x81f8a020,616,0x134,0x1f03ff,Thread,TID 724 PID 696
0x824162a0,616,0x138,0x1f03ff,Thread,TID 728 PID 696
0x82023b10,616,0x13c,0x1f03ff,Thread,TID 732 PID 696
0x81f8f458,616,0x140,0x1f03ff,Thread,TID 736 PID 696
0xe1c44870,616,0x144,0x1f0001,Port,
0x8209b020,616,0x148,0x1f03ff,Thread,TID 1476 PID 1096
0x8201fda0,616,0x14c,0x1f03ff,Thread,TID 752 PID 696
0x822e2da0,616,0x150,0x1f03ff,Thread,TID 768 PID 696
0x8236db10,616,0x154,0x1f03ff,Thread,TID 772 PID 696
0x8241e458,616,0x158,0x1f03ff,Thread,TID 776 PID 696
0x822de458,616,0x15c,0x1f03ff,Thread,TID 780 PID 696
0x822e1550,616,0x168,0x1f03ff,Thread,TID 792 PID 696
0x822e1978,616,0x16c,0x1f03ff,Thread,TID 796 PID 696
0x8216b9f0,616,0x178,0x1f03ff,Thread,TID 3348 PID 1096
